"","Time","P.R.Uithof","WKZ","UMC","Heidelberglaan","Padualaan","De.Kromme.Rijn","Stadion.Galgenwaard","Vaartscherijn","CS.Centrumzijde"
"1",6,3.71428571428571,3.71428571428571,3.71428571428571,8.14285714285714,0.571428571428571,1.23809523809524,3.28571428571429,13.5238095238095,0
"2",7,134.619047619048,134.619047619048,134.619047619048,34.0476190476191,4.85714285714286,6.66666666666667,7.61904761904762,56.0952380952381,0
"3",8,229.238095238095,229.238095238095,229.238095238095,43.8571428571429,10.3333333333333,5.52380952380952,13.5238095238095,63.9523809523809,0
"4",9,102.47619047619,102.47619047619,102.47619047619,39,11.3333333333333,5.80952380952381,6.28571428571429,37.7619047619048,0
"5",10,178.428571428571,178.428571428571,178.428571428571,180.285714285714,90.1428571428571,30.3809523809524,13.1904761904762,53.5714285714286,0
"6",11,180.857142857143,180.857142857143,180.857142857143,185.619047619048,104.619047619048,30.0952380952381,19.047619047619,89.4285714285714,0
"7",12,375.285714285714,375.285714285714,375.285714285714,452.190476190476,253.619047619048,44.1428571428571,27.5238095238095,129.428571428571,0
"8",13,237.142857142857,237.142857142857,237.142857142857,285.285714285714,225.190476190476,36.3809523809524,26.8095238095238,133.571428571429,0
"9",14,416.238095238095,416.238095238095,416.238095238095,453.952380952381,306.809523809524,27.3333333333333,36,171.857142857143,0
"10",15,627.47619047619,627.47619047619,627.47619047619,554.238095238095,382.714285714286,65.2857142857143,75.6666666666667,144.571428571429,0
"11",16,749.904761904762,749.904761904762,749.904761904762,570.52380952381,381.190476190476,49.0952380952381,87.3333333333333,141.619047619048,0
"12",17,592.952380952381,592.952380952381,592.952380952381,474.761904761905,297.428571428571,39.9523809523809,67.9047619047619,77.4285714285714,0
"13",18,279.714285714286,279.714285714286,279.714285714286,207.857142857143,129.190476190476,14.8095238095238,31.8095238095238,50.9523809523809,0
"14",19,53.4761904761905,53.4761904761905,53.4761904761905,110.714285714286,60.0476190476191,7.66666666666667,13.5714285714286,26.1904761904762,0
"15",20,48.7619047619048,48.7619047619048,48.7619047619048,45.1428571428571,46.9047619047619,4.66666666666667,9.04761904761905,24.5714285714286,0
"16",21,16.4285714285714,16.4285714285714,16.4285714285714,19.4285714285714,24.5238095238095,1.85714285714286,4.90476190476191,14.0952380952381,0
