"","Time","CS.Centrumzijde","Vaartscherijn","Stadion.Galgenwaard","De.Kromme.Rijn","Padualaan","Heidelberglaan","UMC","WKZ","P.R.Uithof"
"1",6,126,16.952380952381,2.0952380952381,1.42857142857143,0.0476190476190476,0,0,0,0
"2",7,603.190476190476,159.380952380952,10.3333333333333,2,0.523809523809524,0.142857142857143,0,0,0
"3",8,2689.09523809524,166.190476190476,27,6.61904761904762,2.04761904761905,1.52380952380952,0,0,0
"4",9,1142.71428571429,51.4285714285714,11.952380952381,2.71428571428571,0.952380952380952,0.571428571428571,0,0,0
"5",10,1240.42857142857,75.2380952380952,20.4761904761905,8,2.04761904761905,1,0,0,0
"6",11,525.333333333333,34.3333333333333,14.9047619047619,3.57142857142857,1.14285714285714,0.380952380952381,0,0,0
"7",12,977.666666666667,50.8571428571429,22.7142857142857,11.7142857142857,3.42857142857143,0.761904761904762,0,0,0
"8",13,436.809523809524,25.3333333333333,15.4285714285714,3.9047619047619,1.95238095238095,0.571428571428571,0,0,0
"9",14,441.666666666667,36.2380952380952,13,4.33333333333333,2.0952380952381,0.476190476190476,0,0,0
"10",15,238.571428571429,26.0952380952381,7.52380952380952,8.52380952380952,2.14285714285714,0.380952380952381,0,0,0
"11",16,238.238095238095,28.3809523809524,12.0952380952381,12.4285714285714,3.57142857142857,0.523809523809524,0,0,0
"12",17,197.714285714286,19.2380952380952,8.80952380952381,6.42857142857143,1.57142857142857,0.142857142857143,0,0,0
"13",18,110.761904761905,12.8571428571429,2.76190476190476,1.0952380952381,0.0952380952380952,0.0952380952380952,0,0,0
"14",19,81.1428571428571,5.23809523809524,1.33333333333333,0.238095238095238,0,0.0952380952380952,0,0,0
"15",20,43.7619047619048,4.42857142857143,1.9047619047619,0.142857142857143,0,0,0,0,0
"16",21,9.47619047619048,0.761904761904762,0.285714285714286,0.0476190476190476,0.0476190476190476,0,0,0,0
