Trip;Date;Departure;CS Centrumzijde;Vaartscherijn;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;UMC;WKZ;P+R Uithof
R1141;2-9-2015;12:16;0;11;4;2;13;22;0,00;0,00;0,00
R1143;2-9-2015;12:20;0;1;0;0;24;22;0,67;0,67;0,67
R1145;2-9-2015;12:25;0;4;4;7;40;40;2,67;2,67;2,67
R1147;2-9-2015;12:30;0;0;0;1;0;1;0,00;0,00;0,00
R1149;2-9-2015;12:35;0;9;7;15;93;117;4,67;4,67;4,67
R1151;2-9-2015;12:40;0;0;1;0;1;1;0,33;0,33;0,33
R1153;2-9-2015;12:44;0;0;2;9;23;42;1,67;1,67;1,67
R1155;2-9-2015;12:49;0;4;1;0;26;34;1,33;1,33;1,33
R1157;2-9-2015;12:54;0;7;3;6;23;79;1,67;1,67;1,67
R1159;2-9-2015;12:59;0;16;1;2;29;56;0,67;0,67;0,67
R1161;2-9-2015;13:03;0;12;1;1;20;23;0,00;0,00;0,00
R1163;2-9-2015;13:08;0;5;99;0;0;0;0,33;0,33;0,33
R1165;2-9-2015;13:13;0;0;0;0;0;0;0,00;0,00;0,00
R1167;2-9-2015;13:18;0;5;4;7;68;56;3,33;3,33;3,33
R1169;2-9-2015;13:23;0;7;1;2;15;23;0,00;0,00;0,00
R1171;2-9-2015;13:27;0;4;2;1;5;7;0,00;0,00;0,00
R1173;2-9-2015;13:32;0;4;1;2;10;13;5,33;5,33;5,33
R1175;2-9-2015;13:37;0;5;4;1;22;11;0,33;0,33;0,33
R1177;2-9-2015;13:42;0;12;0;0;9;14;0,67;0,67;0,67
R1179;2-9-2015;13:46;0;0;0;0;1;0;1,33;1,33;1,33
R1181;2-9-2015;13:51;0;11;1;0;27;19;1,00;1,00;1,00
R1183;2-9-2015;13:56;0;0;0;0;0;0;0,00;0,00;0,00
R1185;2-9-2015;14:01;0;9;2;2;23;18;1,33;1,33;1,33
R1187;2-9-2015;14:06;0;9;2;4;7;9;0,67;0,67;0,67
R1189;2-9-2015;14:10;0;2;0;0;7;5;1,00;1,00;1,00
R1191;2-9-2015;14:15;0;0;0;1;4;2;0,00;0,00;0,00
R1193;2-9-2015;14:20;0;11;0;1;15;29;2,67;2,67;2,67
R1195;2-9-2015;14:25;0;2;0;0;8;8;0,00;0,00;0,00
R1197;2-9-2015;14:29;0;2;2;1;31;25;1,33;1,33;1,33
R1199;2-9-2015;14:34;0;1;0;0;10;11;0,00;0,00;0,00
R1201;2-9-2015;14:39;0;0;0;0;0;0;0,00;0,00;0,00
R1203;2-9-2015;14:42;0;14;0;2;32;39;1,67;1,67;1,67
R1205;2-9-2015;14:48;0;3;0;0;0;0;6,33;6,33;6,33
R1207;2-9-2015;14:52;0;15;2;4;22;32;1,67;1,67;1,67
R1209;2-9-2015;14:57;0;1;0;0;0;5;0,00;0,00;0,00
R1211;2-9-2015;15:01;0;10;1;2;17;21;0,67;0,67;0,67
R1213;2-9-2015;15:06;0;7;5;0;7;8;0,67;0,67;0,67
R1215;2-9-2015;15:10;0;1;0;0;10;8;0,33;0,33;0,33
R1217;2-9-2015;15:14;0;5;0;0;19;8;0,00;0,00;0,00
R1219;2-9-2015;15:19;0;4;1;0;19;7;0,33;0,33;0,33
R1221;2-9-2015;15:23;0;10;2;0;29;11;2,33;2,33;2,33
R1223;2-9-2015;15:27;0;2;3;0;3;1;0,33;0,33;0,33
R1225;2-9-2015;15:32;0;0;0;0;0;0;0,00;0,00;0,00
R1227;2-9-2015;15:36;0;2;1;0;5;1;0,00;0,00;0,00
R1229;2-9-2015;15:40;0;5;1;1;10;5;1,00;1,00;1,00
R1231;2-9-2015;15:45;0;0;0;0;0;1;0,00;0,00;0,00
R1233;2-9-2015;15:49;0;7;0;1;2;3;0,67;0,67;0,67
R1235;2-9-2015;15:53;0;2;0;0;0;3;0,00;0,00;0,00
R1237;2-9-2015;15:58;0;3;1;0;2;4;0,00;0,00;0,00
R1239;2-9-2015;16:02;0;4;1;2;12;13;1,67;1,67;1,67
R1241;2-9-2015;16:06;0;0;1;0;0;0;0,00;0,00;0,00
R1243;2-9-2015;16:11;0;1;1;0;1;1;1,33;1,33;1,33
R1245;2-9-2015;16:15;0;2;1;0;4;7;0,67;0,67;0,67
R1247;2-9-2015;16:19;0;0;0;0;0;0;0,00;0,00;0,00
R1249;2-9-2015;16:24;0;6;1;0;2;2;0,00;0,00;0,00
R1251;2-9-2015;16:28;0;2;1;2;0;1;0,33;0,33;0,33
R1253;2-9-2015;16:32;0;2;0;0;0;1;0,33;0,33;0,33
R1255;2-9-2015;16:37;0;12;0;3;7;3;0,00;0,00;0,00
R1257;2-9-2015;16:41;0;8;127;2;8;12;7,33;7,33;7,33
R1259;2-9-2015;16:45;0;2;0;0;0;1;0,33;0,33;0,33
R1261;2-9-2015;16:50;0;4;1;1;3;2;0,33;0,33;0,33
R1263;2-9-2015;16:54;0;0;0;0;1;0;0,00;0,00;0,00
R1265;2-9-2015;16:58;0;3;0;3;2;1;0,33;0,33;0,33
R1267;2-9-2015;17:03;0;1;0;0;3;1;0,00;0,00;0,00
R1269;2-9-2015;17:07;0;2;0;0;2;4;0,00;0,00;0,00
R1271;2-9-2015;17:11;0;0;0;0;0;0;0,33;0,33;0,33
R1273;2-9-2015;17:16;0;4;11;0;3;7;0,00;0,00;0,00
R1275;2-9-2015;17:20;0;12;2;2;2;13;1,33;1,33;1,33
R1277;2-9-2015;17:24;0;0;1;0;0;0;0,00;0,00;0,00
R1279;2-9-2015;17:29;0;2;1;0;0;1;0,33;0,33;0,33
R1281;2-9-2015;17:33;0;0;0;2;0;1;0,00;0,00;0,00
R1283;2-9-2015;17:37;0;5;1;0;0;7;0,33;0,33;0,33
R1285;2-9-2015;17:42;0;4;3;1;2;5;0,33;0,33;0,33
R1287;2-9-2015;17:46;0;8;2;0;3;6;0,00;0,00;0,00
R1289;2-9-2015;17:51;0;3;1;0;0;2;0,00;0,00;0,00
R1291;2-9-2015;17:56;0;3;2;2;0;6;0,67;0,67;0,67
R1293;2-9-2015;18:01;0;10;2;0;6;9;2,00;2,00;2,00
R1295;2-9-2015;18:10;0;7;0;0;3;4;0,00;0,00;0,00
R1297;2-9-2015;18:24;0;14;3;2;1;3;0,00;0,00;0,00
R1299;2-9-2015;18:39;0;15;0;3;0;1;5,67;5,67;5,67
R1301;2-9-2015;18:50;0;7;5;0;4;5;0,33;0,33;0,33
R1303;2-9-2015;19:09;0;13;12;1;4;2;0,00;0,00;0,00
R1305;2-9-2015;19:24;0;12;2;2;2;2;0,67;0,67;0,67
R1307;2-9-2015;19:37;0;7;8;1;1;6;0,00;0,00;0,00
R1309;2-9-2015;19:52;0;5;3;0;0;3;0,00;0,00;0,00
