Trip;Date;Departure;CS Centrumzijde;Vaartscherijn;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;UMC;WKZ;P+R Uithof
R1085;4-9-2015;10:02;0;2;1;8;4;36;1,33;1,33;1,33
R1087;4-9-2015;10:07;0;8;0;1;1;1;6,67;6,67;6,67
R1091;4-9-2015;10:16;0;25;3;26;96;55;3,33;3,33;3,33
R1093;4-9-2015;10:21;0;4;1;9;29;45;16,33;16,33;16,33
R1095;4-9-2015;10:26;0;4;1;5;15;16;24,33;24,33;24,33
R1099;4-9-2015;10:35;0;107;0;0;0;0;32,67;32,67;32,67
R1107;4-9-2015;10:54;0;101;0;0;0;0;0,67;0,67;0,67
R1111;4-9-2015;11:04;0;2;0;2;9;14;0,33;0,33;0,33
R1113;4-9-2015;11:09;0;5;1;0;6;8;0,67;0,67;0,67
R1115;4-9-2015;11:14;0;3;2;6;10;11;0,67;0,67;0,67
R1117;4-9-2015;11:18;0;0;0;0;0;0;0,00;0,00;0,00
R1119;4-9-2015;11:23;0;7;0;0;15;20;0,00;0,00;0,00
R1121;4-9-2015;11:28;0;4;0;1;5;8;0,00;0,00;0,00
R1123;4-9-2015;11:33;0;0;0;0;0;2;0,00;0,00;0,00
R1125;4-9-2015;11:37;0;0;0;0;0;0;0,00;0,00;0,00
R1127;4-9-2015;11:42;0;11;3;1;31;23;1,00;1,00;1,00
R1129;4-9-2015;11:47;0;11;1;0;49;45;1,67;1,67;1,67
R1131;4-9-2015;11:52;0;1;2;0;7;3;0,33;0,33;0,33
R1133;4-9-2015;11:57;0;3;2;1;17;8;0,00;0,00;0,00
R1135;4-9-2015;12:01;0;11;0;6;38;24;2,33;2,33;2,33
R1137;4-9-2015;12:06;0;12;4;3;15;26;1,33;1,33;1,33
R1139;4-9-2015;12:11;0;7;1;3;12;21;1,00;1,00;1,00
R1141;4-9-2015;12:16;0;3;1;2;8;16;0,67;0,67;0,67
R1143;4-9-2015;12:20;0;0;0;0;1;0;2,67;2,67;2,67
R1145;4-9-2015;12:25;0;11;2;9;14;14;2,00;2,00;2,00
R1147;4-9-2015;12:30;0;3;3;1;2;5;0,00;0,00;0,00
R1149;4-9-2015;12:35;0;5;3;10;14;22;2,67;2,67;2,67
R1151;4-9-2015;12:40;0;5;0;7;18;18;1,67;1,67;1,67
R1153;4-9-2015;12:44;0;6;5;18;45;56;3,67;3,67;3,67
R1155;4-9-2015;12:49;0;10;2;2;26;21;1,00;1,00;1,00
R1157;4-9-2015;12:54;0;0;0;0;0;2;0,00;0,00;0,00
R1159;4-9-2015;12:59;0;5;0;0;6;6;1,33;1,33;1,33
R1161;4-9-2015;13:03;0;1;0;1;0;0;0,00;0,00;0,00
R1163;4-9-2015;13:08;0;9;4;2;57;25;2,67;2,67;2,67
R1165;4-9-2015;13:13;0;7;1;1;54;36;1,00;1,00;1,00
R1167;4-9-2015;13:18;0;8;0;0;12;15;0,33;0,33;0,33
R1169;4-9-2015;13:23;0;7;5;2;39;14;1,33;1,33;1,33
R1171;4-9-2015;13:27;0;17;4;0;17;14;0,67;0,67;0,67
R1173;4-9-2015;13:32;0;1;0;0;3;1;1,00;1,00;1,00
R1175;4-9-2015;13:37;0;11;2;0;7;5;0,33;0,33;0,33
R1177;4-9-2015;13:42;0;1;1;0;3;4;1,33;1,33;1,33
R1179;4-9-2015;13:46;0;0;0;1;2;3;2,67;2,67;2,67
R1181;4-9-2015;13:51;0;9;4;3;11;6;1,00;1,00;1,00
R1185;4-9-2015;14:01;0;17;4;15;20;21;2,67;2,67;2,67
R1189;4-9-2015;14:10;0;1;1;1;5;8;0,33;0,33;0,33
R1191;4-9-2015;14:15;0;10;0;9;12;9;1,33;1,33;1,33
R1193;4-9-2015;14:20;0;0;0;0;2;5;0,00;0,00;0,00
R1197;4-9-2015;14:29;0;0;0;0;0;0;0,00;0,00;0,00
R1199;4-9-2015;14:34;0;0;0;0;0;0;0,00;0,00;0,00
R1201;4-9-2015;14:39;0;3;2;1;4;8;2,00;2,00;2,00
R1203;4-9-2015;14:42;0;0;0;2;2;1;0,33;0,33;0,33
R1205;4-9-2015;14:48;0;11;5;12;4;38;3,00;3,00;3,00
R1211;4-9-2015;15:01;0;5;3;4;12;22;2,67;2,67;2,67
R1213;4-9-2015;15:06;0;5;1;2;4;3;0,33;0,33;0,33
R1215;4-9-2015;15:10;0;3;0;0;1;1;0,00;0,00;0,00
R1217;4-9-2015;15:14;0;0;0;0;1;1;0,33;0,33;0,33
R1219;4-9-2015;15:19;0;1;0;1;2;2;0,33;0,33;0,33
R1221;4-9-2015;15:23;0;9;1;1;1;4;0,33;0,33;0,33
R1223;4-9-2015;15:27;0;4;4;1;7;2;0,00;0,00;0,00
R1225;4-9-2015;15:32;0;10;7;0;14;4;0,00;0,00;0,00
R1227;4-9-2015;15:36;0;1;0;0;0;1;0,00;0,00;0,00
R1229;4-9-2015;15:40;0;9;2;4;6;14;0,67;0,67;0,67
R1231;4-9-2015;15:45;0;3;2;1;5;7;0,67;0,67;0,67
R1233;4-9-2015;15:49;0;5;0;0;0;0;0,67;0,67;0,67
R1235;4-9-2015;15:53;0;0;0;0;0;0;0,00;0,00;0,00
R1237;4-9-2015;15:58;0;2;0;0;0;6;0,00;0,00;0,00
R1241;4-9-2015;16:06;0;6;0;0;0;2;0,67;0,67;0,67
R1243;4-9-2015;16:11;0;9;1;2;8;1;1,33;1,33;1,33
R1245;4-9-2015;16:15;0;1;0;0;1;0;0,00;0,00;0,00
R1249;4-9-2015;16:24;0;18;6;2;4;4;2,00;2,00;2,00
R1251;4-9-2015;16:28;0;3;3;4;3;3;1,67;1,67;1,67
R1253;4-9-2015;16:32;0;4;1;0;0;0;0,00;0,00;0,00
R1255;4-9-2015;16:37;0;1;0;0;0;1;0,00;0,00;0,00
R1257;4-9-2015;16:41;0;5;2;2;9;20;2,00;2,00;2,00
R1259;4-9-2015;16:45;0;0;0;0;0;0;0,00;0,00;0,00
R1261;4-9-2015;16:50;0;0;0;0;0;0;0,00;0,00;0,00
R1263;4-9-2015;16:54;0;0;0;0;0;0;0,00;0,00;0,00
R1265;4-9-2015;16:58;0;13;2;0;5;5;0,67;0,67;0,67
R1267;4-9-2015;17:03;0;2;1;0;1;3;0,33;0,33;0,33
R1269;4-9-2015;17:07;0;0;0;0;0;0;0,33;0,33;0,33
R1275;4-9-2015;17:20;0;8;4;3;1;8;1,33;1,33;1,33
R1279;4-9-2015;17:29;0;0;0;0;0;0;0,00;0,00;0,00
R1283;4-9-2015;17:37;0;0;1;2;0;1;0,33;0,33;0,33
R1285;4-9-2015;17:42;0;9;2;1;2;4;0,00;0,00;0,00
R1289;4-9-2015;17:51;0;12;6;1;0;2;0,67;0,67;0,67
R1291;4-9-2015;17:56;0;10;3;0;0;3;0,00;0,00;0,00
R1293;4-9-2015;18:01;0;6;1;2;1;4;1,00;1,00;1,00
R1297;4-9-2015;18:24;0;0;0;0;0;0;0,00;0,00;0,00
R1299;4-9-2015;18:39;0;15;3;4;0;11;0,33;0,33;0,33
R1301;4-9-2015;18:50;0;0;0;0;0;0;0,00;0,00;0,00
R1303;4-9-2015;19:09;0;18;10;4;0;4;0,00;0,00;0,00
R1305;4-9-2015;19:24;0;10;3;7;0;4;0,33;0,33;0,33
R1307;4-9-2015;19:37;0;9;2;1;0;6;0,33;0,33;0,33
R1309;4-9-2015;19:52;0;2;1;4;0;2;0,00;0,00;0,00
R1311;4-9-2015;20:07;0;9;0;0;0;4;0,00;0,00;0,00
R1313;4-9-2015;20:22;0;13;3;0;0;2;0,00;0,00;0,00
R1315;4-9-2015;20:37;0;7;0;0;0;6;0,33;0,33;0,33
R1317;4-9-2015;20:52;0;2;0;2;0;2;0,33;0,33;0,33
R1319;4-9-2015;21:07;0;9;1;0;0;0;0,00;0,00;0,00
R1001;7-9-2015;6:10;0;2;0;2;0;1;1,33;1,33;1,33
R1003;7-9-2015;6:30;0;3;4;2;1;7;8,33;8,33;8,33
R1005;7-9-2015;6:42;0;6;8;5;5;6;3,00;3,00;3,00
R1007;7-9-2015;6:55;0;18;15;10;3;3;4,00;4,00;4,00
R1009;7-9-2015;7:05;0;3;1;0;2;9;3,67;3,67;3,67
R1011;7-9-2015;7:14;0;6;20;3;4;13;5,33;5,33;5,33
R1013;7-9-2015;7:21;0;3;3;1;7;18;6,67;6,67;6,67
R1015;7-9-2015;7:26;0;0;0;0;0;0;1,67;1,67;1,67
R1017;7-9-2015;7:31;0;13;28;6;6;33;4,00;4,00;4,00
R1019;7-9-2015;7:36;0;11;13;1;13;13;5,33;5,33;5,33
R1023;7-9-2015;7:44;0;5;6;2;27;44;9,33;9,33;9,33
R1025;7-9-2015;7:48;0;2;0;0;2;3;8,00;8,00;8,00
R1027;7-9-2015;7:52;0;16;8;2;68;41;6,67;6,67;6,67
R1029;7-9-2015;7:57;0;0;0;0;0;0;0,00;0,00;0,00
R1031;7-9-2015;8:01;0;2;0;0;0;0;0,00;0,00;0,00
R1033;7-9-2015;8:05;0;18;2;2;17;6;36,33;36,33;36,33
R1035;7-9-2015;8:09;0;33;13;5;94;54;5,33;5,33;5,33
R1037;7-9-2015;8:14;0;28;4;4;42;63;41,33;41,33;41,33
R1039;7-9-2015;8:18;0;3;0;0;8;8;12,33;12,33;12,33
R1041;7-9-2015;8:22;0;31;7;5;142;104;40,67;40,67;40,67
R1043;7-9-2015;8:26;0;31;12;8;93;106;38,33;38,33;38,33
R1045;7-9-2015;8:30;0;167;0;0;1;1;124,00;124,00;124,00
R1047;7-9-2015;8:35;0;40;13;9;79;91;41,33;41,33;41,33
R1049;7-9-2015;8:39;0;13;5;11;144;120;45,67;45,67;45,67
R1051;7-9-2015;8:43;0;26;13;7;73;129;7,33;7,33;7,33
R1053;7-9-2015;8:47;0;20;6;5;52;75;2,67;2,67;2,67
R1055;7-9-2015;8:52;0;38;7;5;105;62;36,00;36,00;36,00
R1059;7-9-2015;9:00;0;30;5;8;48;48;2,33;2,33;2,33
R1061;7-9-2015;9:05;0;10;2;0;15;10;1,67;1,67;1,67
R1063;7-9-2015;9:09;0;17;6;2;43;45;34,00;34,00;34,00
R1065;7-9-2015;9:14;0;27;8;7;39;49;3,00;3,00;3,00
R1067;7-9-2015;9:19;0;7;3;0;9;12;51,67;51,67;51,67
R1069;7-9-2015;9:24;0;27;8;13;84;85;10,00;10,00;10,00
R1071;7-9-2015;9:28;0;22;7;7;36;23;19,33;19,33;19,33
R1073;7-9-2015;9:33;0;7;5;2;24;21;0,67;0,67;0,67
R1075;7-9-2015;9:38;0;16;7;4;34;39;2,67;2,67;2,67
R1077;7-9-2015;9:43;0;3;0;0;1;0;29,33;29,33;29,33
R1079;7-9-2015;9:48;0;20;3;8;47;84;3,00;3,00;3,00
R1081;7-9-2015;9:52;0;16;1;5;19;16;26,00;26,00;26,00
R1085;7-9-2015;10:02;0;28;3;14;90;74;2,00;2,00;2,00
R1087;7-9-2015;10:07;0;12;2;8;35;65;0,00;0,00;0,00
R1091;7-9-2015;10:16;0;17;0;4;23;29;0,00;0,00;0,00
R1093;7-9-2015;10:21;0;5;2;9;37;57;1,00;1,00;1,00
R1099;7-9-2015;10:35;0;8;0;4;35;28;24,00;24,00;24,00
R1101;7-9-2015;10:40;0;3;0;2;27;92;3,33;3,33;3,33
R1103;7-9-2015;10:45;0;6;0;2;19;11;0,67;0,67;0,67
R1105;7-9-2015;10:50;0;0;0;0;2;3;0,33;0,33;0,33
R1107;7-9-2015;10:54;0;25;1;3;36;35;1,33;1,33;1,33
R1109;7-9-2015;10:59;0;2;0;0;0;0;0,00;0,00;0,00
R1111;7-9-2015;11:04;0;14;1;2;80;20;0,67;0,67;0,67
R1113;7-9-2015;11:09;0;71;0;0;0;0;1,33;1,33;1,33
R1115;7-9-2015;11:14;0;9;0;0;21;11;0,67;0,67;0,67
R1117;7-9-2015;11:18;0;5;0;2;15;8;0,33;0,33;0,33
R1119;7-9-2015;11:23;0;7;0;2;23;7;2,33;2,33;2,33
R1121;7-9-2015;11:28;0;26;0;0;32;31;0,33;0,33;0,33
R1123;7-9-2015;11:33;0;7;0;0;4;11;4,00;4,00;4,00
R1125;7-9-2015;11:37;0;10;1;1;12;9;3,33;3,33;3,33
R1127;7-9-2015;11:42;0;21;1;3;45;23;1,67;1,67;1,67
R1129;7-9-2015;11:47;0;2;0;0;2;1;0,33;0,33;0,33
R1133;7-9-2015;11:57;0;17;2;5;39;19;0,33;0,33;0,33
R1135;7-9-2015;12:01;0;9;1;1;12;6;0,33;0,33;0,33
R1137;7-9-2015;12:06;0;9;3;2;29;19;1,00;1,00;1,00
R1139;7-9-2015;12:11;0;12;5;3;26;33;0,67;0,67;0,67
R1141;7-9-2015;12:16;0;23;1;5;21;39;0,00;0,00;0,00
R1143;7-9-2015;12:20;0;4;2;1;19;31;1,33;1,33;1,33
R1145;7-9-2015;12:25;0;10;4;12;49;56;0,33;0,33;0,33
R1147;7-9-2015;12:30;0;7;2;0;43;58;2,33;2,33;2,33
R1149;7-9-2015;12:35;0;54;0;0;0;0;0,67;0,67;0,67
R1151;7-9-2015;12:40;0;3;1;15;57;58;1,33;1,33;1,33
R1153;7-9-2015;12:44;0;5;1;11;62;66;2,00;2,00;2,00
R1155;7-9-2015;12:49;0;8;1;10;38;73;1,67;1,67;1,67
R1157;7-9-2015;12:54;0;4;2;10;51;55;0,33;0,33;0,33
R1159;7-9-2015;12:59;0;10;2;6;52;26;2,33;2,33;2,33
R1161;7-9-2015;13:03;0;6;0;2;32;10;1,33;1,33;1,33
R1163;7-9-2015;13:08;0;11;2;3;36;27;1,67;1,67;1,67
R1165;7-9-2015;13:13;0;9;4;2;36;26;0,67;0,67;0,67
R1167;7-9-2015;13:18;0;6;1;0;5;12;0,33;0,33;0,33
R1169;7-9-2015;13:23;0;10;3;2;19;32;2,33;2,33;2,33
R1171;7-9-2015;13:27;0;9;1;2;5;31;0,67;0,67;0,67
R1173;7-9-2015;13:32;0;1;0;0;3;5;0,67;0,67;0,67
R1175;7-9-2015;13:37;0;2;0;1;8;9;0,67;0,67;0,67
R1177;7-9-2015;13:42;0;17;2;1;16;13;0,00;0,00;0,00
R1179;7-9-2015;13:46;0;13;3;1;6;7;2,00;2,00;2,00
R1181;7-9-2015;13:51;0;3;0;0;0;6;0,33;0,33;0,33
R1183;7-9-2015;13:56;0;11;3;0;8;13;1,00;1,00;1,00
R1185;7-9-2015;14:01;0;5;1;0;5;12;0,00;0,00;0,00
R1187;7-9-2015;14:06;0;8;3;0;15;5;0,00;0,00;0,00
R1189;7-9-2015;14:10;0;10;2;3;15;14;0,33;0,33;0,33
R1191;7-9-2015;14:15;0;9;1;2;11;28;0,33;0,33;0,33
R1193;7-9-2015;14:20;0;1;0;3;17;23;0,67;0,67;0,67
R1195;7-9-2015;14:25;0;6;2;3;12;23;0,00;0,00;0,00
R1197;7-9-2015;14:29;0;7;2;5;8;26;1,33;1,33;1,33
R1199;7-9-2015;14:34;0;2;1;3;26;45;1,33;1,33;1,33
R1201;7-9-2015;14:39;0;5;0;6;16;39;1,00;1,00;1,00
R1203;7-9-2015;14:42;0;5;2;12;23;75;1,67;1,67;1,67
R1205;7-9-2015;14:48;0;0;0;0;0;0;0,00;0,00;0,00
R1207;7-9-2015;14:52;0;4;1;1;19;18;0,33;0,33;0,33
R1209;7-9-2015;14:57;0;5;0;0;13;5;0,67;0,67;0,67
R1211;7-9-2015;15:01;0;6;0;2;17;16;0,67;0,67;0,67
R1213;7-9-2015;15:06;0;3;1;0;15;2;0,67;0,67;0,67
R1215;7-9-2015;15:10;0;8;2;1;9;8;0,33;0,33;0,33
R1217;7-9-2015;15:14;0;0;0;0;0;0;0,00;0,00;0,00
R1219;7-9-2015;15:19;0;10;1;0;14;13;0,00;0,00;0,00
R1221;7-9-2015;15:23;0;14;3;0;27;12;0,00;0,00;0,00
R1225;7-9-2015;15:32;0;6;1;0;11;3;0,00;0,00;0,00
R1227;7-9-2015;15:36;0;10;0;1;6;5;0,00;0,00;0,00
R1229;7-9-2015;15:40;0;4;0;0;9;6;0,00;0,00;0,00
R1231;7-9-2015;15:45;0;6;0;0;4;5;0,00;0,00;0,00
R1233;7-9-2015;15:49;0;6;2;0;2;4;0,00;0,00;0,00
R1235;7-9-2015;15:53;0;3;0;0;4;5;1,00;1,00;1,00
R1237;7-9-2015;15:58;0;3;1;0;7;5;0,33;0,33;0,33
R1239;7-9-2015;16:02;0;3;1;0;10;5;1,00;1,00;1,00
R1241;7-9-2015;16:06;0;2;1;3;7;9;0,67;0,67;0,67
R1243;7-9-2015;16:11;0;10;0;0;4;4;1,33;1,33;1,33
R1245;7-9-2015;16:15;0;2;0;1;1;6;1,67;1,67;1,67
R1247;7-9-2015;16:19;0;2;7;0;14;3;0,67;0,67;0,67
R1249;7-9-2015;16:24;0;2;0;1;3;1;0,33;0,33;0,33
R1251;7-9-2015;16:28;0;5;1;1;11;8;4,33;4,33;4,33
R1253;7-9-2015;16:32;0;1;1;5;12;19;1,67;1,67;1,67
R1255;7-9-2015;16:37;0;6;1;6;9;9;0,00;0,00;0,00
R1257;7-9-2015;16:41;0;6;1;2;21;30;1,67;1,67;1,67
R1259;7-9-2015;16:45;0;1;1;1;4;6;1,67;1,67;1,67
R1261;7-9-2015;16:50;0;9;0;0;7;7;0,33;0,33;0,33
R1263;7-9-2015;16:54;0;5;1;1;13;7;0,33;0,33;0,33
R1265;7-9-2015;16:58;0;1;0;0;0;0;0,00;0,00;0,00
R1267;7-9-2015;17:03;0;4;0;0;11;11;2,67;2,67;2,67
R1269;7-9-2015;17:07;0;5;3;2;5;7;0,00;0,00;0,00
R1271;7-9-2015;17:11;0;8;0;0;1;4;0,33;0,33;0,33
R1273;7-9-2015;17:16;0;8;1;0;7;9;48,33;48,33;48,33
R1275;7-9-2015;17:20;0;15;4;1;16;8;2,00;2,00;2,00
R1277;7-9-2015;17:24;0;0;85;0;0;0;0,33;0,33;0,33
R1279;7-9-2015;17:29;0;0;57;0;1;1;0,00;0,00;0,00
R1281;7-9-2015;17:33;0;8;0;2;6;4;0,33;0,33;0,33
R1283;7-9-2015;17:37;0;0;0;0;2;0;0,00;0,00;0,00
R1285;7-9-2015;17:42;0;8;1;0;0;2;0,00;0,00;0,00
R1287;7-9-2015;17:46;0;4;0;1;3;2;0,00;0,00;0,00
R1289;7-9-2015;17:51;0;2;0;0;2;2;0,33;0,33;0,33
R1291;7-9-2015;17:56;0;8;3;1;4;4;0,33;0,33;0,33
R1293;7-9-2015;18:01;0;7;0;0;0;2;0,33;0,33;0,33
R1295;7-9-2015;18:10;0;14;2;1;2;3;0,00;0,00;0,00
R1297;7-9-2015;18:24;0;6;0;3;4;3;0,67;0,67;0,67
R1299;7-9-2015;18:39;0;9;3;1;0;5;0,67;0,67;0,67
R1301;7-9-2015;18:50;0;12;2;0;0;8;0,00;0,00;0,00
R1303;7-9-2015;19:09;0;13;2;0;2;4;0,33;0,33;0,33
R1305;7-9-2015;19:24;0;14;5;0;2;3;0,00;0,00;0,00
R1307;7-9-2015;19:37;0;10;2;0;1;5;0,00;0,00;0,00
R1309;7-9-2015;19:52;0;5;1;1;0;7;0,00;0,00;0,00
R1311;7-9-2015;20:07;0;4;2;0;1;6;0,67;0,67;0,67
R1313;7-9-2015;20:22;0;3;0;1;0;3;0,00;0,00;0,00
R1315;7-9-2015;20:37;0;11;1;0;1;1;0,00;0,00;0,00
R1317;7-9-2015;20:52;0;7;1;1;0;3;0,00;0,00;0,00
R1319;7-9-2015;21:07;0;2;1;0;1;1;0,00;0,00;0,00
R1001;8-9-2015;6:10;0;1;0;0;0;0;1,33;1,33;1,33
R1003;8-9-2015;6:30;0;2;0;2;2;7;9,33;9,33;9,33
R1005;8-9-2015;6:42;0;6;23;2;6;4;4,33;4,33;4,33
R1007;8-9-2015;6:55;0;9;14;8;2;0;5,67;5,67;5,67
R1009;8-9-2015;7:05;0;9;11;0;3;17;3,33;3,33;3,33
R1011;8-9-2015;7:14;0;1;16;5;2;22;6,67;6,67;6,67
R1013;8-9-2015;7:21;0;3;6;1;1;42;2,67;2,67;2,67
R1015;8-9-2015;7:26;0;3;0;1;5;27;2,33;2,33;2,33
R1017;8-9-2015;7:31;0;17;21;2;26;77;13,00;13,00;13,00
R1019;8-9-2015;7:36;0;5;13;0;11;38;4,00;4,00;4,00
R1021;8-9-2015;7:40;0;0;0;0;0;0;0,33;0,33;0,33
R1023;8-9-2015;7:44;0;10;8;6;35;33;5,33;5,33;5,33
R1025;8-9-2015;7:48;0;22;23;3;101;31;6,33;6,33;6,33
R1027;8-9-2015;7:52;0;15;5;2;39;15;2,00;2,00;2,00
R1029;8-9-2015;7:57;0;43;4;4;104;42;6,67;6,67;6,67
R1031;8-9-2015;8:01;0;57;9;6;75;75;3,00;3,00;3,00
R1033;8-9-2015;8:05;0;29;6;7;41;26;3,00;3,00;3,00
R1035;8-9-2015;8:09;0;61;2;6;84;71;23,33;23,33;23,33
R1037;8-9-2015;8:14;0;36;9;12;34;46;32,33;32,33;32,33
R1039;8-9-2015;8:18;0;26;6;16;82;92;47,00;47,00;47,00
R1041;8-9-2015;8:22;0;12;6;26;80;111;22,33;22,33;22,33
R1043;8-9-2015;8:26;0;32;11;20;110;133;47,33;47,33;47,33
R1045;8-9-2015;8:30;0;7;15;6;101;150;4,33;4,33;4,33
R1047;8-9-2015;8:35;0;56;15;13;97;113;4,33;4,33;4,33
R1051;8-9-2015;8:43;0;16;4;2;45;15;3,33;3,33;3,33
R1055;8-9-2015;8:52;0;84;18;6;76;25;3,33;3,33;3,33
R1057;8-9-2015;8:56;0;0;0;0;0;0;11,33;11,33;11,33
R1059;8-9-2015;9:00;0;21;6;1;26;35;18,67;18,67;18,67
R1061;8-9-2015;9:05;0;30;7;2;27;27;1,00;1,00;1,00
R1067;8-9-2015;9:19;0;9;1;4;24;42;7,33;7,33;7,33
R1069;8-9-2015;9:24;0;7;5;0;0;0;0,67;0,67;0,67
R1071;8-9-2015;9:28;0;13;3;1;6;12;12,67;12,67;12,67
R1073;8-9-2015;9:33;0;5;1;0;19;23;0,00;0,00;0,00
R1077;8-9-2015;9:43;0;37;7;9;73;55;6,67;6,67;6,67
R1081;8-9-2015;9:52;0;19;2;0;26;13;2,00;2,00;2,00
R1083;8-9-2015;9:57;0;23;1;4;20;35;50,33;50,33;50,33
R1085;8-9-2015;10:02;0;45;14;19;151;113;2,67;2,67;2,67
R1087;8-9-2015;10:07;0;0;0;0;1;1;0,67;0,67;0,67
R1091;8-9-2015;10:16;0;16;2;4;42;30;0,00;0,00;0,00
R1093;8-9-2015;10:21;0;23;3;5;45;56;1,00;1,00;1,00
R1097;8-9-2015;10:31;0;3;0;0;1;1;0,33;0,33;0,33
R1099;8-9-2015;10:35;0;7;0;0;10;21;27,00;27,00;27,00
R1103;8-9-2015;10:45;0;14;7;0;26;48;4,33;4,33;4,33
R1105;8-9-2015;10:50;0;10;0;1;7;2;8,33;8,33;8,33
R1107;8-9-2015;10:54;0;2;1;1;14;20;1,00;1,00;1,00
R1109;8-9-2015;10:59;0;9;2;2;44;15;2,00;2,00;2,00
R1111;8-9-2015;11:04;0;3;1;1;16;12;0,00;0,00;0,00
R1113;8-9-2015;11:09;0;12;1;0;41;36;1,33;1,33;1,33
R1115;8-9-2015;11:14;0;5;4;1;12;10;0,00;0,00;0,00
R1117;8-9-2015;11:18;0;0;0;0;0;0;0,00;0,00;0,00
R1119;8-9-2015;11:23;0;3;0;1;8;12;0,67;0,67;0,67
R1121;8-9-2015;11:28;0;24;0;1;16;28;0,00;0,00;0,00
R1123;8-9-2015;11:33;0;17;1;1;15;16;0,67;0,67;0,67
R1125;8-9-2015;11:37;0;2;1;0;3;3;0,67;0,67;0,67
R1127;8-9-2015;11:42;0;24;5;2;24;32;1,33;1,33;1,33
R1129;8-9-2015;11:47;0;0;0;0;2;2;0,33;0,33;0,33
R1131;8-9-2015;11:52;0;7;2;0;10;15;1,00;1,00;1,00
R1133;8-9-2015;11:57;0;23;2;1;45;27;0,33;0,33;0,33
R1135;8-9-2015;12:01;0;0;0;0;5;0;0,33;0,33;0,33
R1137;8-9-2015;12:06;0;6;3;1;34;22;0,67;0,67;0,67
R1139;8-9-2015;12:11;0;13;2;2;24;27;0,33;0,33;0,33
R1141;8-9-2015;12:16;0;11;1;0;11;31;2,67;2,67;2,67
R1143;8-9-2015;12:20;0;5;2;1;6;26;0,00;0,00;0,00
R1145;8-9-2015;12:25;0;8;2;6;22;51;2,33;2,33;2,33
R1147;8-9-2015;12:30;0;2;1;4;27;47;1,33;1,33;1,33
R1149;8-9-2015;12:35;0;4;0;3;36;52;1,67;1,67;1,67
R1151;8-9-2015;12:40;0;9;3;30;83;116;7,67;7,67;7,67
R1153;8-9-2015;12:44;0;0;0;0;3;1;0,67;0,67;0,67
R1155;8-9-2015;12:49;0;6;1;9;53;62;2,33;2,33;2,33
R1157;8-9-2015;12:54;0;4;1;2;38;26;1,33;1,33;1,33
R1159;8-9-2015;12:59;0;8;2;0;49;46;1,33;1,33;1,33
R1161;8-9-2015;13:03;0;15;6;6;36;19;1,00;1,00;1,00
R1163;8-9-2015;13:08;0;3;2;2;55;37;0,67;0,67;0,67
R1165;8-9-2015;13:13;0;0;0;0;4;4;0,00;0,00;0,00
R1167;8-9-2015;13:18;0;3;3;3;37;59;0,33;0,33;0,33
R1169;8-9-2015;13:23;0;10;2;4;15;28;0,67;0,67;0,67
R1171;8-9-2015;13:27;0;0;0;0;0;1;0,33;0,33;0,33
R1173;8-9-2015;13:32;0;0;0;0;0;5;0,00;0,00;0,00
R1175;8-9-2015;13:37;0;16;2;0;15;20;0,67;0,67;0,67
R1177;8-9-2015;13:42;0;11;5;2;19;15;2,00;2,00;2,00
R1179;8-9-2015;13:46;0;9;0;0;5;12;0,00;0,00;0,00
R1181;8-9-2015;13:51;0;7;2;4;11;10;1,67;1,67;1,67
R1183;8-9-2015;13:56;0;2;0;0;1;5;0,00;0,00;0,00
R1185;8-9-2015;14:01;0;8;0;1;4;7;1,67;1,67;1,67
R1187;8-9-2015;14:06;0;11;2;6;17;24;2,33;2,33;2,33
R1189;8-9-2015;14:10;0;0;0;0;1;0;0,00;0,00;0,00
R1191;8-9-2015;14:15;0;2;2;4;11;24;0,33;0,33;0,33
R1193;8-9-2015;14:20;0;3;0;1;8;20;0,00;0,00;0,00
R1195;8-9-2015;14:25;0;4;1;5;25;38;0,00;0,00;0,00
R1197;8-9-2015;14:29;0;16;1;22;36;83;1,00;1,00;1,00
R1199;8-9-2015;14:34;0;1;0;3;18;35;2,00;2,00;2,00
R1201;8-9-2015;14:39;0;0;0;0;3;9;0,67;0,67;0,67
R1203;8-9-2015;14:42;0;10;1;2;10;45;1,00;1,00;1,00
R1205;8-9-2015;14:48;0;3;5;3;31;25;1,67;1,67;1,67
R1207;8-9-2015;14:52;0;0;0;1;2;2;0,00;0,00;0,00
R1209;8-9-2015;14:57;0;8;2;3;18;23;1,67;1,67;1,67
R1211;8-9-2015;15:01;0;0;1;0;0;1;0,00;0,00;0,00
R1213;8-9-2015;15:06;0;0;0;0;0;0;0,00;0,00;0,00
R1215;8-9-2015;15:10;0;8;2;0;2;16;2,00;2,00;2,00
R1217;8-9-2015;15:14;0;2;1;1;4;7;0,67;0,67;0,67
R1219;8-9-2015;15:19;0;0;0;0;0;2;0,00;0,00;0,00
R1221;8-9-2015;15:23;0;5;0;0;2;7;0,33;0,33;0,33
R1223;8-9-2015;15:27;0;10;0;0;5;9;1,33;1,33;1,33
R1225;8-9-2015;15:32;0;7;2;1;7;12;1,00;1,00;1,00
R1227;8-9-2015;15:36;0;16;4;0;6;3;0,67;0,67;0,67
