Stop;Direction;From;To;PassIn;PassOut;BusIn;BusOut;BusInPercentage;BusOutPercentage;;24u_entry;24u_exit;7-9_entry;7-9_exit;16-18_entry;16-18_exit
Galgenwaard;0;10;11;19,11304013;24,4665921381;13,19;8,80952381;0,014609131;0,0187019814;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;10;11;77,6258953574;78,9543540887;53,57;28,42857143;0,059333673;0,0603517994;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;10;11;0;1022,0422920713;0;368;0;0,7812373635;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;11;12;243,5845934915;28,9479832929;180,86;11,61904762;0,1861848878;0,0221275052;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;11;12;243,5845934915;28,9479832929;180,86;11,61904762;0,1861848878;0,0221275052;;59,7058823529;0;151,5;0;132,5;0
UMC;0;11;12;243,5845934915;28,9479832929;180,86;11,61904762;0,1861848878;0,0221275052;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;11;12;249,9954232218;1,1863927573;185,62;0,476190476;0,1910850319;0,000906865;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;11;12;101,637147813;10,8826652774;104,62;4,476190476;0,0776867728;0,0083185841;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;11;12;40,5390703533;18,1518091952;30,1;7,285714286;0,0309862055;0,013875034;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;11;12;25,6567870508;24,914247914;19,05;10;0,0196108709;0,0190441643;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;11;12;120,4454837772;70,5903690813;89,43;28,33333333;0,0920630019;0,0539584656;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;11;12;0;1095,3964333681;0;439,6666667;0;0,8373084248;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;12;13;241,5372616734;16,3111177975;375,29;13;0,1846200013;0,0124680307;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;12;13;241,5372616734;16,3111177975;375,29;13;0,1846200013;0,0124680307;;59,7058823529;0;151,5;0;132,5;0
UMC;0;12;13;241,5372616734;16,3111177975;375,29;13;0,1846200013;0,0124680307;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;12;13;291,0302282397;1,3741967372;452,19;1,095238095;0,2224501542;0,0010504202;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;12;13;146,1774053234;4,6075022772;253,62;3,714285714;0,1117313021;0,0035219217;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;12;13;28,4085766481;17,147585381;44,14;13,66666667;0,0217142126;0,0131074169;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;12;13;17,711917294;27,0657009588;27,52;21,57142857;0,013538177;0,0206887103;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;12;13;83,3013610232;82,3323088836;129,43;65,61904762;0,0636717386;0,0629338692;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;12;13;0;1126,7218293942;0;898;0;0,8612531969;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;13;14;218,6914884883;19,1177840443;237,14;11,95238095;0,1671577404;0,0146134141;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;13;14;218,6914884883;19,1177840443;237,14;11,95238095;0,1671577404;0,0146134141;;59,7058823529;0;151,5;0;132,5;0
UMC;0;13;14;218,6914884883;19,1177840443;237,14;11,95238095;0,1671577404;0,0146134141;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;13;14;263,0956175712;1,5233294056;285,29;0,952380952;0,2010982194;0,0011644155;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;13;14;160,5617485165;4,1212521434;225,19;2,619047619;0,1227260341;0,0031502377;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;13;14;33,5497864182;8,454478205;36,38;5,285714286;0,0256439175;0,0064625058;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;13;14;24,7242928497;27,5722622557;26,81;17,23809524;0,0188981151;0,0210759199;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;13;14;123,1788062637;75,6333050259;133,57;47,28571429;0,0941522282;0,0578132278;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;13;14;0;1133,5094112254;0;708,6666667;0;0,8664415464;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;14;15;242,6032973798;15,0991267699;416,24;13,47619048;0,1854348301;0,0115415987;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;14;15;242,6032973798;15,0991267699;416,24;13,47619048;0,1854348301;0,0115415987;;59,7058823529;0;151,5;0;132,5;0
UMC;0;14;15;242,6032973798;15,0991267699;416,24;13,47619048;0,1854348301;0,0115415987;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;14;15;264,582372779;1,0670760961;453,95;0,952380952;0,2022346269;0,0008156607;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;14;15;139,7551375225;4,0608771133;306,81;3,666666667;0,1068224153;0,0031040877;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;14;15;15,9291469282;20,1143844165;27,33;17,95238095;0,0121755091;0,0153752039;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;14;15;20,9824108824;27,5839170958;36;24,61904762;0,0160379922;0,0210848287;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;14;15;100,1676981734;74,8553881706;171,86;66,80952381;0,0765635929;0,0572185971;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;14;15;0;1135,2089050571;0;1013,190476;0;0,8677406199;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;15;16;264,3959886056;11,9378244548;627,48;13,61904762;0,2020921634;0,0091251356;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;15;16;264,3959886056;11,9378244548;627,48;13,61904762;0,2020921634;0,0091251356;;59,7058823529;0;151,5;0;132,5;0
UMC;0;15;16;264,3959886056;11,9378244548;627,48;13,61904762;0,2020921634;0,0091251356;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;15;16;233,5354636399;1,544403863;554,24;1,761904762;0,178503794;0,0011805245;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;15;16;129,8886178251;1,7785613723;382,71;2,047619048;0,0992809003;0,0013595118;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;15;16;27,5107000957;6,5950219013;65,29;7,523809524;0,021027917;0,0050411588;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;15;16;31,8844336995;19,9102876345;75,67;22,71428571;0,0243709983;0,0152191947;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;15;16;60,9162492393;86,6953195442;144,57;98,9047619;0,0465615861;0,0662689043;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;15;16;0;1155,8819400774;0;1318,666667;0;0,8835428499;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;16;17;281,9660978495;10,8515470946;749,9;13,66666667;0,2155219488;0,0082947977;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;16;17;281,9660978495;10,8515470946;749,9;13,66666667;0,2155219488;0,0082947977;;59,7058823529;0;151,5;0;132,5;0
UMC;0;16;17;281,9660978495;10,8515470946;749,9;13,66666667;0,2155219488;0,0082947977;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;16;17;214,5183333046;2,1929955796;570,52;2,761904762;0,163967972;0,0016763006;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;16;17;122,4603207206;2,5525809874;381,19;3,238095238;0,0936030508;0,0019511635;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;16;17;18,4618421182;5,1800068001;49,1;6,523809524;0,0141113851;0,0039595376;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;16;17;32,836510635;18,7538932328;87,33;23,61904762;0,0250987222;0,0143352601;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;16;17;53,2498183457;90,2153008955;141,62;113,6190476;0,0407017181;0,0689595376;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;16;17;0;1156,7673580602;0;1456,857143;0;0,8842196532;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;17;18;283,5022939783;12,2410832675;592,95;11,95238095;0,2166961466;0,0093569431;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;17;18;283,5022939783;12,2410832675;592,95;11,95238095;0,2166961466;0,0093569431;;59,7058823529;0;151,5;0;132,5;0
UMC;0;17;18;283,5022939783;12,2410832675;592,95;11,95238095;0,2166961466;0,0093569431;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;17;18;226,9930838842;1,121692889;474,76;1,095238095;0,1735030991;0,0008574091;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;17;18;129,019246961;2,6661086836;297,43;2,619047619;0,0986163931;0,0020379428;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;17;18;19,1009640685;5,9010799828;39,95;5,761904762;0,0145999006;0,0045107176;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;17;18;32,4644670902;16,9717011059;67,9;16,57142857;0,0248143492;0,012972973;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;17;18;37,0209674049;87,9797379195;77,43;85,9047619;0,028297129;0,0672506989;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;17;18;0;1156,8555233348;0;1129,571429;0;0,8842870457;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;18;19;287,2957390752;19,4919883855;279,71;7,761904762;0,219595682;0,0148994516;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;18;19;287,2957390752;19,4919883855;279,71;7,761904762;0,219595682;0,0148994516;;59,7058823529;0;151,5;0;132,5;0
UMC;0;18;19;287,2957390752;19,4919883855;279,71;7,761904762;0,219595682;0,0148994516;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;18;19;213,4971660798;1,6741585125;207,86;0,666666667;0,1631874387;0,0012797075;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;18;19;127,3468178528;2,2549642197;129,19;0,904761905;0,097338065;0,0017236687;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;18;19;15,2116474052;11,3603613293;14,81;4,523809524;0,0116270854;0,0086837294;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;18;19;32,6726876407;20,3290676405;31,81;8,095238095;0,0249735034;0,0155393053;;35,6470588235;15,5882352941;26;13,5;146;33,5
