Stop;Direction;From;To;PassIn;PassOut;BusIn;BusOut;BusInPercentage;BusOutPercentage;;24u_entry;24u_exit;7-9_entry;7-9_exit;16-18_entry;16-18_exit
UMC;1;10;11;0;221,0235016828;0;386,8571429;0;0,1650951065;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;10;11;0;221,0235016828;0;386,8571429;0;0,1650951065;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;10;11;0;221,0235016828;0;386,8571429;0;0,1650951065;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;11;12;1213,3861922099;0;525,3333333;0;0,9062679701;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;11;12;79,3012549451;177,7500837969;34,33333333;106,5714286;0,0592294422;0,1327717134;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;11;12;34,4262035954;27,2423050552;14,9047619;16,33333333;0,0257126427;0,0203488372;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;11;12;8,24909032;21,285532814;3,571428571;12,76190476;0,0061611764;0,015899383;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;11;12;0,9825457582;337,1533089167;1,142857143;202,1428571;0,0007338552;0,2518391077;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;11;12;0,8799029677;335,008871052;0,380952381;200,8571429;0,0006571921;0,2502373043;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;11;12;0;146,7748680825;0;88;0;0,1096345515;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;11;12;0;146,7748680825;0;88;0;0,1096345515;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;11;12;0;146,7748680825;0;88;0;0,1096345515;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;12;13;1226,6217576282;0;977,6666667;0;0,9161535029;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;12;13;63,8075124045;89,4941579606;50,85714286;118;0,0476572959;0,0668483099;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;12;13;28,4982990725;22,2832507909;22,71428571;29,38095238;0,0212851406;0,0166446357;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;12;13;14,6972359971;46,697314867;11,71428571;61,57142857;0,0109772423;0,0348808978;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;12;13;3,0522600583;263,8596925145;3,428571429;347,9047619;0,0022797074;0,1970919097;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;12;13;0,9559177889;317,4911794171;0,761904762;418,6190476;0,000713967;0,2371523375;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;12;13;0;199,6463701108;0;263,2380952;0;0,1491273031;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;12;13;0;199,6463701108;0;263,2380952;0;0,1491273031;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;12;13;0;199,6463701108;0;263,2380952;0;0,1491273031;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;13;14;1208,3400062541;0;436,8095238;0;0,9024990161;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;13;14;70,0792416065;104,8133849517;25,33333333;76,0952381;0,0523415978;0,0782911175;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;13;14;42,6798388827;42,5025490931;15,42857143;30,85714286;0,0318772137;0,0317475871;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;13;14;10,8016876181;20,8577324194;3,904761905;15,14285714;0,0080676899;0,0155798344;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;13;14;2,8239197726;220,3835878696;1,952380952;160;0,002109162;0,1646171182;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;13;14;1,5807347721;206,8063846294;0,571428571;150,1428571;0,0011806375;0,1544755279;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;13;14;0;247,8003556397;0;179,9047619;0;0,1850962716;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;13;14;0;247,8003556397;0;179,9047619;0;0,1850962716;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;13;14;0;247,8003556397;0;179,9047619;0;0,1850962716;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;14;15;1187,8834727001;0;441,6666667;0;0,8872202028;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;14;15;97,4640779196;89,5100543513;36,23809524;65,80952381;0,0727951024;0,0668601838;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;14;15;34,964117307;31,9308659928;13;23,47619048;0,026114406;0,0238509918;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;14;15;11,6547057681;51,6204872019;4,333333333;37,95238095;0,008704802;0,038558297;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;14;15;3,8095462699;151,8821110817;2,095238095;111,6666667;0,0028453182;0,1134494437;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;14;15;1,2807368972;263,4134523203;0,476190476;193,6666667;0,0009565716;0,1967585873;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;14;15;0;250,1359116448;0;183,9047619;0;0,1868408321;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;14;15;0;250,1359116448;0;183,9047619;0;0,1868408321;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;14;15;0;250,1359116448;0;183,9047619;0;0,1868408321;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;15;16;1127,7405158433;0;238,5714286;0;0,8422999328;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;15;16;123,3536532377;126,4358568754;26,0952381;66,19047619;0,092131809;0,0944421797;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;15;16;35,5654693586;48,6641607475;7,523809524;25,47619048;0,0265635508;0,0363500476;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;15;16;40,2925254124;14,0080014087;8,523809524;7,333333333;0,0300941493;0,0104633782;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;15;16;5,5017538021;125,4352853535;2,142857143;65,66666667;0,0041092138;0,0936947955;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;15;16;1,8007832588;146,6292095537;0,380952381;76,76190476;0,0013449899;0,1095257508;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;15;16;0;292,5307306479;0;153,1428571;0;0,2185079494;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;15;16;0;292,5307306479;0;153,1428571;0;0,2185079494;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;15;16;0;292,5307306479;0;153,1428571;0;0,2185079494;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;16;17;1080,3916792652;0;238,2380952;0;0,8069354838;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;16;17;128,7054649057;111,3702304382;28,38095238;63,95238095;0,0961290323;0,0831888008;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;16;17;54,850986745;59,2924160624;12,0952381;34,04761905;0,040967742;0,0442888999;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;16;17;56,3626280963;18,8243055186;12,42857143;10,80952381;0,0420967742;0,0140609514;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;16;17;9,7001716063;108,6336573919;3,571428571;62,38095238;0,0072449768;0,0811446977;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;16;17;2,3754364338;135,5847556068;0,523809524;77,85714286;0,0017741935;0,1012760159;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;16;17;0;301,6864469548;0;173,2380952;0;0,2253468781;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;16;17;0;301,6864469548;0;173,2380952;0;0,2253468781;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;16;17;0;301,6864469548;0;173,2380952;0;0,2253468781;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;17;18;1131,7262885362;0;197,7142857;0;0,8452768729;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;17;18;110,1198026606;174,0481204305;19,23809524;66,61904762;0,082247557;0,130006505;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;17;18;50,4261472557;84,5980856952;8,80952381;32,38095238;0,0376628665;0,0631911533;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;17;18;36,7974588087;27,4943778418;6,428571429;10,52380952;0,0274837134;0,0205371248;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;17;18;6,104326835;83,8516320128;1,571428571;32,0952381;0,0045592705;0,0626335843;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;17;18;0,8177213076;159,6166822921;0,142857143;61,0952381;0,0006107492;0,1192268377;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;17;18;0;269,7186025367;0;103,2380952;0;0,201468265;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;17;18;0;269,7186025367;0;103,2380952;0;0,201468265;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;17;18;0;269,7186025367;0;103,2380952;0;0,201468265;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;18;19;1161,5965509244;0;110,7619048;0;0,8675867214;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;18;19;134,8370888699;342,2171864443;12,85714286;47,0952381;0,1007086908;0,2556216077;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;18;19;28,9650042703;149,4821279259;2,761904762;20,57142857;0,0216337188;0,1116567589;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;18;19;11,4861223802;54,6717042003;1,095238095;7,523809524;0,0085788885;0,0408374257;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;18;19;0,6106646975;79,2393687094;0,095238095;10,9047619;0,0004561003;0,0591884208;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;18;19;0,9987932482;248,0988095401;0,095238095;34,14285714;0,0007459903;0,1853192039;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;18;19;0;155,0185030208;0;21,33333333;0;0,1157921944;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;18;19;0;155,0185030208;0;21,33333333;0;0,1157921944;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;18;19;0;155,0185030208;0;21,33333333;0;0,1157921944;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;19;20;1233,8861705923;0;81,14285714;0;0,921579232;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;19;20;79,652276272;521,1899355939;5,238095238;44,38095238;0,0594916171;0,3893065998;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;19;20;20,2751248645;139,2449506405;1,333333333;11,85714286;0,0151433207;0,1040100251;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;19;20;3,620558011;54,2440169025;0,238095238;4,619047619;0,0027041644;0,0405179616;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;19;20;0;43,6189001868;0;3,714285714;0;0,0325814536;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;19;20;1,4482232014;239,9039510625;0,095238095;20,42857143;0,0010816658;0,179197995;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;19;20;0;113,5209838321;0;9,666666667;0;0,0847953216;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;19;20;0;113,5209838321;0;9,666666667;0;0,0847953216;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;19;20;0;113,5209838321;0;9,666666667;0;0,0847953216;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;20;21;1166,2870922523;0;43,76190476;0;0,8710900474;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;20;21;118,0247003207;541,7140657222;4,428571429;25,76190476;0,0881516588;0,4046372476;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;20;21;50,7633119673;100,1319899765;1,904761905;4,761904762;0,0379146919;0,0747943156;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;20;21;3,8072484009;67,0884332729;0,142857143;3,19047619;0,0028436019;0,0501121915;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;20;21;0;30,0395970014;0;1,428571429;0;0,0224382947;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;20;21;0;302,3986097031;0;14,38095238;0;0,2258788332;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;20;21;0;99,1306700688;0;4,714285714;0;0,0740463725;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;20;21;0;99,1306700688;0;4,714285714;0;0,0740463725;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;20;21;0;99,1306700688;0;4,714285714;0;0,0740463725;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;21;22;1194,7873910585;0;9,476190476;0;0,8923766815;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;21;22;96,0633078377;627,8344828094;0,761904762;6,476190476;0,0717488789;0,4689655173;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;21;22;36,0237404707;124,6436105891;0,285714286;1,285714286;0,0269058296;0,0931034483;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;21;22;6,0039567871;32,3150101132;0,047619048;0,333333333;0,004484305;0,024137931;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;21;22;6,0039567871;18,465720037;0,047619048;0,19047619;0,004484305;0,0137931034;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;21;22;0;216,9722109681;0;2,238095238;0;0,1620689655;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;21;22;0;106,1778904552;0;1,095238095;0;0,0793103448;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;21;22;0;106,1778904552;0;1,095238095;0;0,0793103448;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;21;22;0;106,1778904552;0;1,095238095;0;0,0793103448;;0;0,8823529412;0;3,5;0;0,5
