Trip;Date;Departure;CS Centrumzijde;Bleekstraat;Sterrenwijk;Rubenslaan;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU
R1237;4-9-2015;15:58;5;0;0;0;0;3;0;0;0
R1241;4-9-2015;16:06;7;1;0;2;0;0;0;0;0
R1243;4-9-2015;16:11;22;2;0;1;0;0;0;0;0
R1245;4-9-2015;16:15;0;2;0;0;0;0;0;0;0
R1249;4-9-2015;16:24;36;0;0;3;1;0;0;0;0
R1251;4-9-2015;16:28;16;3;0;1;0;0;0;1;0
R1253;4-9-2015;16:32;5;0;0;0;0;0;0;0;0
R1255;4-9-2015;16:37;0;0;2;0;0;0;0;0;0
R1257;4-9-2015;16:41;30;3;2;5;3;1;0;0;0
R1259;4-9-2015;16:45;0;0;0;0;0;0;0;0;0
R1261;4-9-2015;16:50;0;0;0;0;0;0;0;0;0
R1263;4-9-2015;16:54;0;0;0;0;0;0;0;0;0
R1265;4-9-2015;16:58;16;2;1;0;3;5;0;0;0
R1267;4-9-2015;17:03;8;0;0;0;0;0;0;0;0
R1269;4-9-2015;17:07;1;0;0;0;0;0;0;0;0
R1275;4-9-2015;17:20;26;0;0;0;2;0;0;0;0
R1279;4-9-2015;17:29;0;0;0;0;0;0;0;0;0
R1283;4-9-2015;17:37;0;2;2;1;0;0;0;0;0
R1285;4-9-2015;17:42;18;0;0;0;0;0;0;0;0
R1289;4-9-2015;17:51;21;0;1;0;1;0;0;0;0
R1291;4-9-2015;17:56;15;0;0;1;0;0;0;0;0
R1293;4-9-2015;18:01;17;0;0;0;0;0;0;0;0
R1297;4-9-2015;18:24;0;0;0;0;0;0;0;0;0
R1299;4-9-2015;18:39;27;2;4;0;1;0;0;0;0
R1301;4-9-2015;18:50;0;0;0;0;0;0;0;0;0
R1303;4-9-2015;19:09;35;0;0;0;1;0;0;0;0
R1305;4-9-2015;19:24;25;0;0;0;0;0;0;0;0
R1307;4-9-2015;19:37;19;0;0;0;0;0;0;0;0
R1309;4-9-2015;19:52;9;0;0;0;0;0;0;0;0
R1311;4-9-2015;20:07;12;0;0;1;0;0;0;0;0
R1313;4-9-2015;20:22;18;0;0;0;0;0;0;0;0
R1315;4-9-2015;20:37;11;0;0;2;1;0;0;0;0
R1317;4-9-2015;20:52;6;0;1;0;0;0;0;0;0
R1319;4-9-2015;21:07;8;1;1;0;0;0;0;0;0
R1001;7-9-2015;6:10;9;0;0;0;0;0;0;0;0
R1003;7-9-2015;6:30;36;1;2;2;0;1;0;0;0
R1005;7-9-2015;6:42;37;1;1;0;0;0;0;0;0
R1007;7-9-2015;6:55;59;1;1;0;0;0;0;0;0
R1009;7-9-2015;7:05;21;1;0;2;1;1;0;0;0
R1011;7-9-2015;7:14;61;0;0;0;0;0;1;0;0
R1013;7-9-2015;7:21;0;48;0;3;1;0;0;0;0
R1015;7-9-2015;7:26;0;1;0;1;3;0;0;0;0
R1017;7-9-2015;7:31;96;1;0;1;0;0;0;0;0
R1019;7-9-2015;7:36;62;2;0;0;3;0;0;0;0
R1023;7-9-2015;7:44;107;0;0;2;2;1;0;0;0
R1025;7-9-2015;7:48;30;0;0;1;0;0;0;0;0
R1027;7-9-2015;7:52;151;1;0;1;2;0;0;0;0
R1029;7-9-2015;7:57;0;0;0;0;0;0;0;0;0
R1031;7-9-2015;8:01;2;0;0;0;0;0;0;0;0
R1033;7-9-2015;8:05;151;2;0;0;0;1;0;0;0
R1035;7-9-2015;8:09;200;2;5;2;5;1;0;0;0
R1037;7-9-2015;8:14;259;1;1;0;0;4;0;0;0
R1039;7-9-2015;8:18;49;6;0;1;0;0;0;0;0
R1041;7-9-2015;8:22;394;2;2;4;6;1;0;2;0
R1043;7-9-2015;8:26;347;6;2;6;4;0;0;0;0
R1045;7-9-2015;8:30;538;3;0;0;0;0;0;0;0
R1047;7-9-2015;8:35;333;8;8;3;4;0;0;0;0
R1049;7-9-2015;8:39;422;0;1;5;2;0;0;0;0
R1051;7-9-2015;8:43;261;1;0;3;2;2;1;0;0
R1053;7-9-2015;8:47;161;1;0;3;0;0;1;0;0
R1055;7-9-2015;8:52;312;2;1;5;4;1;0;0;0
R1059;7-9-2015;9:00;137;1;0;3;4;0;1;0;0
R1061;7-9-2015;9:05;36;2;0;1;2;1;0;0;0
R1063;7-9-2015;9:09;212;1;0;0;0;0;2;0;0
R1065;7-9-2015;9:14;138;1;0;0;0;0;0;0;0
R1067;7-9-2015;9:19;184;1;0;1;0;0;0;0;0
R1069;7-9-2015;9:24;238;3;0;1;3;2;0;0;0
R1071;7-9-2015;9:28;151;1;1;0;0;0;0;0;0
R1073;7-9-2015;9:33;52;0;2;5;1;0;0;1;0
R1075;7-9-2015;9:38;102;0;2;1;2;1;0;0;0
R1077;7-9-2015;9:43;91;0;0;1;0;0;0;0;0
R1079;7-9-2015;9:48;161;4;1;1;1;3;0;0;0
R1081;7-9-2015;9:52;132;0;0;0;3;0;0;0;0
R1085;7-9-2015;10:02;208;4;0;1;1;1;0;0;0
R1087;7-9-2015;10:07;117;1;0;0;2;2;0;0;0
R1091;7-9-2015;10:16;66;0;1;4;1;1;0;0;0
R1093;7-9-2015;10:21;106;0;1;3;2;1;0;0;0
R1099;7-9-2015;10:35;138;7;0;0;0;0;2;0;0
R1101;7-9-2015;10:40;119;0;4;5;6;0;0;0;0
R1103;7-9-2015;10:45;37;0;0;0;2;1;0;0;0
R1105;7-9-2015;10:50;5;0;1;0;0;0;0;0;0
R1107;7-9-2015;10:54;100;2;1;1;0;0;0;0;0
R1109;7-9-2015;10:59;2;0;0;0;0;0;0;0;0
R1111;7-9-2015;11:04;105;5;2;2;3;2;0;0;0
R1113;7-9-2015;11:09;75;0;0;0;0;0;0;0;0
R1115;7-9-2015;11:14;43;0;0;0;0;0;0;0;0
R1117;7-9-2015;11:18;29;1;1;0;0;0;0;0;0
R1119;7-9-2015;11:23;39;1;0;0;6;0;0;0;0
R1121;7-9-2015;11:28;85;0;1;4;0;0;0;0;0
R1123;7-9-2015;11:33;30;3;0;1;0;0;0;0;0
R1125;7-9-2015;11:37;41;0;0;0;2;0;0;0;0
R1127;7-9-2015;11:42;91;1;0;3;0;3;0;0;0
R1129;7-9-2015;11:47;6;0;0;0;0;0;0;0;0
R1133;7-9-2015;11:57;80;0;1;0;2;0;0;0;0
R1135;7-9-2015;12:01;29;1;0;0;0;0;0;0;0
R1137;7-9-2015;12:06;56;1;0;0;7;1;0;0;0
R1139;7-9-2015;12:11;79;1;0;0;0;0;0;1;0
R1141;7-9-2015;12:16;85;0;0;2;0;2;0;0;0
R1143;7-9-2015;12:20;57;1;0;1;1;1;0;0;0
R1145;7-9-2015;12:25;121;4;2;1;3;1;0;0;0
R1147;7-9-2015;12:30;110;1;1;1;1;2;1;0;0
R1149;7-9-2015;12:35;56;0;0;0;0;0;0;0;0
R1151;7-9-2015;12:40;118;0;1;2;8;4;5;0;0
R1153;7-9-2015;12:44;143;4;0;3;0;0;1;0;0
R1155;7-9-2015;12:49;126;3;1;3;1;1;0;0;0
R1157;7-9-2015;12:54;105;2;4;3;5;3;1;0;0
R1159;7-9-2015;12:59;99;0;0;1;0;2;1;0;0
R1161;7-9-2015;13:03;48;0;2;1;0;3;0;0;0
R1163;7-9-2015;13:08;79;2;0;1;1;1;0;0;0
R1165;7-9-2015;13:13;73;2;0;1;3;0;0;0;0
R1167;7-9-2015;13:18;25;0;0;0;0;0;0;0;0
R1169;7-9-2015;13:23;73;0;0;0;0;0;0;0;0
R1171;7-9-2015;13:27;49;0;1;0;0;0;0;0;0
R1173;7-9-2015;13:32;8;0;0;2;1;0;0;0;0
R1175;7-9-2015;13:37;20;1;1;0;0;0;0;0;0
R1177;7-9-2015;13:42;45;2;0;0;2;0;0;0;0
R1179;7-9-2015;13:46;34;0;1;0;0;0;1;0;0
R1181;7-9-2015;13:51;9;1;0;0;0;0;0;0;0
R1183;7-9-2015;13:56;35;0;0;0;2;0;1;0;0
R1185;7-9-2015;14:01;23;0;0;0;0;0;0;0;0
R1187;7-9-2015;14:06;30;0;0;1;0;0;0;0;0
R1189;7-9-2015;14:10;43;0;0;0;0;1;1;0;0
R1191;7-9-2015;14:15;50;1;0;1;0;0;0;0;0
R1193;7-9-2015;14:20;46;0;0;0;0;0;0;0;0
R1195;7-9-2015;14:25;43;0;0;0;3;0;0;0;0
R1197;7-9-2015;14:29;40;4;1;0;5;1;0;1;0
R1199;7-9-2015;14:34;74;1;2;3;1;0;0;0;0
R1201;7-9-2015;14:39;67;1;0;0;0;1;0;0;0
R1203;7-9-2015;14:42;108;5;0;4;2;3;0;0;0
R1205;7-9-2015;14:48;0;0;0;0;0;0;0;0;0
R1207;7-9-2015;14:52;40;1;1;1;0;1;0;0;0
R1209;7-9-2015;14:57;21;0;0;3;0;1;0;0;0
R1211;7-9-2015;15:01;32;0;0;3;0;8;0;0;0
R1213;7-9-2015;15:06;20;0;0;0;0;1;2;0;0
R1215;7-9-2015;15:10;26;1;0;0;1;0;1;0;0
R1217;7-9-2015;15:14;0;0;0;0;0;0;0;0;0
R1219;7-9-2015;15:19;32;3;2;1;0;0;0;0;0
R1221;7-9-2015;15:23;52;1;1;1;1;0;0;0;0
R1225;7-9-2015;15:32;18;1;0;0;1;1;0;0;0
R1227;7-9-2015;15:36;19;2;0;0;0;1;0;0;0
R1229;7-9-2015;15:40;18;0;0;1;0;0;0;0;0
R1231;7-9-2015;15:45;13;0;0;1;1;0;0;0;0
R1233;7-9-2015;15:49;13;0;0;0;0;0;1;0;0
R1235;7-9-2015;15:53;12;1;0;0;0;0;2;0;0
R1237;7-9-2015;15:58;15;1;0;0;1;0;0;0;0
R1239;7-9-2015;16:02;15;0;1;2;0;4;0;0;0
R1241;7-9-2015;16:06;19;0;0;3;0;1;1;0;0
R1243;7-9-2015;16:11;17;0;1;0;0;0;4;0;0
R1245;7-9-2015;16:15;13;0;0;0;0;0;2;0;0
R1247;7-9-2015;16:19;28;0;0;0;0;0;0;0;0
R1249;7-9-2015;16:24;8;0;0;0;0;0;0;0;0
R1251;7-9-2015;16:28;28;4;0;2;3;2;0;0;0
R1253;7-9-2015;16:32;39;0;0;1;2;1;0;0;0
R1255;7-9-2015;16:37;28;1;0;1;1;0;0;0;0
R1257;7-9-2015;16:41;58;3;0;1;3;0;0;0;0
R1259;7-9-2015;16:45;12;1;0;0;0;2;2;1;0
R1261;7-9-2015;16:50;20;1;1;0;1;1;0;0;0
R1263;7-9-2015;16:54;19;3;2;0;1;3;0;0;0
R1265;7-9-2015;16:58;1;0;0;0;0;0;0;0;0
R1267;7-9-2015;17:03;22;0;2;3;0;5;2;0;0
R1269;7-9-2015;17:07;18;0;0;0;1;3;0;0;0
R1271;7-9-2015;17:11;12;1;0;0;0;1;0;0;0
R1273;7-9-2015;17:16;164;0;0;1;3;1;1;0;0
R1275;7-9-2015;17:20;45;0;0;3;2;0;0;0;0
R1277;7-9-2015;17:24;86;0;0;0;0;0;0;0;0
R1279;7-9-2015;17:29;57;1;0;1;0;0;0;0;0
R1281;7-9-2015;17:33;18;0;3;0;0;0;0;0;0
R1283;7-9-2015;17:37;0;0;0;0;2;0;0;0;0
R1285;7-9-2015;17:42;11;0;0;0;0;0;0;0;0
R1287;7-9-2015;17:46;9;0;1;0;0;0;0;0;0
R1289;7-9-2015;17:51;6;0;0;0;1;0;0;0;0
R1291;7-9-2015;17:56;20;0;1;0;0;0;0;0;0
R1293;7-9-2015;18:01;8;0;1;0;1;0;0;0;0
R1295;7-9-2015;18:10;22;0;0;0;0;0;0;0;0
R1297;7-9-2015;18:24;18;0;0;0;0;0;0;0;0
R1299;7-9-2015;18:39;20;0;0;0;0;0;0;0;0
R1301;7-9-2015;18:50;20;1;1;0;0;0;0;0;0
R1303;7-9-2015;19:09;22;0;0;0;0;0;0;0;0
R1305;7-9-2015;19:24;23;1;0;0;0;0;0;0;0
R1307;7-9-2015;19:37;16;0;0;0;2;0;0;0;0
R1309;7-9-2015;19:52;12;0;1;0;1;0;0;0;0
R1311;7-9-2015;20:07;8;0;1;1;5;0;0;0;0
R1313;7-9-2015;20:22;6;0;0;1;0;0;0;0;0
R1315;7-9-2015;20:37;13;1;0;0;0;0;0;0;0
R1317;7-9-2015;20:52;11;0;1;0;0;0;0;0;0
R1319;7-9-2015;21:07;5;0;0;0;0;0;0;0;0
R1001;8-9-2015;6:10;5;0;0;0;0;0;0;0;0
R1003;8-9-2015;6:30;33;3;2;2;0;1;0;0;0
R1005;8-9-2015;6:42;52;1;1;0;0;0;0;0;0
R1007;8-9-2015;6:55;45;0;0;3;1;1;0;0;0
R1009;8-9-2015;7:05;45;1;1;2;1;0;0;0;0
R1011;8-9-2015;7:14;64;0;0;1;1;0;0;0;0
R1013;8-9-2015;7:21;60;0;0;0;1;0;0;0;0
R1015;8-9-2015;7:26;43;0;0;0;0;0;0;0;0
R1017;8-9-2015;7:31;176;6;0;0;0;0;0;0;0
R1019;8-9-2015;7:36;68;2;1;4;4;0;0;0;0
R1021;8-9-2015;7:40;0;0;0;1;0;0;0;0;0
R1023;8-9-2015;7:44;105;1;0;0;0;2;0;0;0
R1025;8-9-2015;7:48;192;1;1;1;4;0;0;0;0
R1027;8-9-2015;7:52;76;5;0;1;0;0;0;0;0
R1029;8-9-2015;7:57;202;1;3;5;3;3;0;0;0
R1031;8-9-2015;8:01;226;1;2;0;2;0;0;0;0
R1033;8-9-2015;8:05;118;0;0;0;0;0;0;0;0
R1035;8-9-2015;8:09;294;0;0;0;0;0;0;0;0
R1037;8-9-2015;8:14;231;1;1;1;0;0;0;0;0
R1039;8-9-2015;8:18;350;3;1;3;4;1;1;0;0
R1041;8-9-2015;8:22;291;2;5;2;2;0;0;0;0
R1043;8-9-2015;8:26;412;9;4;7;16;0;0;0;0
R1045;8-9-2015;8:30;282;4;0;3;2;1;0;0;0
R1047;8-9-2015;8:35;291;3;7;2;3;1;0;0;0
R1051;8-9-2015;8:43;90;2;0;0;0;0;0;0;0
R1055;8-9-2015;8:52;209;3;2;1;2;1;1;0;0
R1057;8-9-2015;8:56;34;0;0;0;0;0;0;0;0
R1059;8-9-2015;9:00;141;1;1;0;1;0;1;0;0
R1061;8-9-2015;9:05;93;0;1;0;2;0;0;0;0
R1067;8-9-2015;9:19;94;6;1;1;0;0;0;0;0
R1069;8-9-2015;9:24;12;0;0;2;0;0;0;0;0
R1071;8-9-2015;9:28;73;0;0;0;0;0;0;0;0
R1073;8-9-2015;9:33;43;1;1;2;1;0;0;0;0
R1077;8-9-2015;9:43;184;12;2;3;0;0;0;0;0
R1081;8-9-2015;9:52;61;1;2;0;0;1;1;0;0
R1083;8-9-2015;9:57;231;2;0;0;0;0;1;0;0
R1085;8-9-2015;10:02;345;1;0;2;2;0;0;0;0
R1087;8-9-2015;10:07;0;0;1;3;0;0;0;0;0
R1091;8-9-2015;10:16;91;0;0;0;2;1;0;0;0
R1093;8-9-2015;10:21;123;1;0;0;11;0;0;0;0
R1097;8-9-2015;10:31;5;1;0;0;0;0;0;0;0
R1099;8-9-2015;10:35;97;0;5;7;9;1;0;0;0
R1103;8-9-2015;10:45;102;2;2;2;0;0;0;0;0
R1105;8-9-2015;10:50;43;2;0;0;0;0;0;0;0
R1107;8-9-2015;10:54;28;0;2;1;3;7;0;0;0
R1109;8-9-2015;10:59;73;1;0;2;0;2;0;0;0
R1111;8-9-2015;11:04;31;2;0;0;0;0;0;0;0
R1113;8-9-2015;11:09;86;1;0;2;2;0;3;0;0
R1115;8-9-2015;11:14;32;0;0;0;0;0;0;0;0
R1117;8-9-2015;11:18;0;0;0;0;0;0;0;0;0
R1119;8-9-2015;11:23;21;0;1;0;3;1;0;0;0
R1121;8-9-2015;11:28;68;0;1;0;0;0;0;0;0
R1123;8-9-2015;11:33;46;1;0;0;4;1;0;0;0
R1125;8-9-2015;11:37;9;0;1;1;0;0;0;0;0
R1127;8-9-2015;11:42;85;5;1;0;0;0;0;0;0
R1129;8-9-2015;11:47;0;1;0;0;4;0;0;0;0
R1131;8-9-2015;11:52;34;2;0;0;1;0;0;0;0
R1133;8-9-2015;11:57;97;2;0;0;0;0;0;0;0
R1135;8-9-2015;12:01;0;1;0;1;3;1;0;0;0
R1137;8-9-2015;12:06;60;4;1;1;1;1;0;0;0
R1139;8-9-2015;12:11;67;0;1;1;0;0;0;0;0
R1141;8-9-2015;12:16;60;0;1;1;0;0;0;0;0
R1143;8-9-2015;12:20;40;0;0;0;0;0;0;0;0
R1145;8-9-2015;12:25;84;4;0;2;5;1;0;0;0
R1147;8-9-2015;12:30;85;0;0;0;0;0;0;0;0
R1149;8-9-2015;12:35;97;0;2;1;0;0;0;0;0
R1151;8-9-2015;12:40;243;7;3;3;8;0;0;0;0
R1153;8-9-2015;12:44;0;0;0;3;0;2;1;0;0
R1155;8-9-2015;12:49;128;0;5;2;0;3;0;0;0
R1157;8-9-2015;12:54;62;3;0;0;8;1;0;1;0
R1159;8-9-2015;12:59;91;5;2;6;4;1;0;0;0
R1161;8-9-2015;13:03;81;4;0;0;0;0;0;0;0
R1163;8-9-2015;13:08;94;0;4;2;1;0;0;0;0
R1165;8-9-2015;13:13;6;0;0;0;1;1;0;0;0
R1167;8-9-2015;13:18;92;0;3;4;5;0;2;0;0
R1169;8-9-2015;13:23;55;4;0;1;1;0;0;0;0
R1171;8-9-2015;13:27;0;0;0;1;1;0;0;0;0
R1173;8-9-2015;13:32;0;1;2;0;2;0;0;0;0
R1175;8-9-2015;13:37;55;0;0;0;0;0;0;0;0
R1177;8-9-2015;13:42;56;0;1;1;0;0;0;0;0
R1179;8-9-2015;13:46;26;0;0;0;0;0;0;0;0
R1181;8-9-2015;13:51;31;1;0;2;5;0;0;0;0
R1183;8-9-2015;13:56;8;0;0;0;0;0;0;0;0
R1185;8-9-2015;14:01;18;6;0;0;1;0;0;0;0
R1187;8-9-2015;14:06;63;2;0;0;2;0;0;0;0
R1189;8-9-2015;14:10;0;0;0;0;1;0;0;0;0
R1191;8-9-2015;14:15;41;1;0;1;0;1;0;0;0
R1193;8-9-2015;14:20;31;0;0;1;0;0;0;0;0
R1195;8-9-2015;14:25;70;0;0;0;3;0;0;0;0
R1197;8-9-2015;14:29;158;1;0;2;0;0;0;0;0
R1199;8-9-2015;14:34;54;0;0;0;7;2;0;0;0
R1201;8-9-2015;14:39;0;2;3;4;0;1;4;0;0
R1203;8-9-2015;14:42;61;1;2;4;3;0;0;0;0
R1205;8-9-2015;14:48;60;4;1;2;5;0;0;0;0
R1207;8-9-2015;14:52;0;0;3;1;0;1;0;0;0
R1209;8-9-2015;14:57;52;4;0;2;1;0;0;0;0
R1211;8-9-2015;15:01;2;0;0;0;0;0;0;0;0
R1213;8-9-2015;15:06;0;0;0;0;0;0;0;0;0
R1215;8-9-2015;15:10;31;1;0;1;1;0;0;0;0
R1217;8-9-2015;15:14;9;0;0;0;2;6;0;0;0
R1219;8-9-2015;15:19;0;0;0;0;0;2;0;0;0
R1221;8-9-2015;15:23;13;0;0;1;0;1;0;0;0
R1223;8-9-2015;15:27;23;0;0;0;0;5;0;0;0
R1225;8-9-2015;15:32;22;2;1;1;2;4;0;0;0
R1227;8-9-2015;15:36;28;1;0;1;1;0;0;0;0
R1229;8-9-2015;15:40;1;0;0;0;0;0;0;0;0
R1231;8-9-2015;15:45;11;0;0;1;0;0;0;0;0
R1233;8-9-2015;15:49;16;1;1;0;0;0;0;0;0
R1235;8-9-2015;15:53;9;0;0;0;0;0;0;0;0
R1237;8-9-2015;15:58;0;0;0;0;0;0;0;0;0
R1239;8-9-2015;16:02;5;0;0;0;1;0;0;0;0
R1241;8-9-2015;16:06;28;1;0;0;0;0;0;0;0
R1243;8-9-2015;16:11;0;0;0;1;0;2;0;0;0
R1245;8-9-2015;16:15;0;0;0;0;0;0;0;0;0
R1247;8-9-2015;16:19;42;1;2;2;1;2;0;0;0
R1249;8-9-2015;16:24;28;3;0;0;2;1;0;0;0
R1251;8-9-2015;16:28;28;0;0;0;0;0;0;0;0
R1253;8-9-2015;16:32;11;0;0;1;2;1;1;0;0
R1255;8-9-2015;16:37;5;0;1;0;3;0;0;0;0
R1257;8-9-2015;16:41;23;4;0;1;0;0;1;0;0
R1259;8-9-2015;16:45;8;1;0;0;4;20;1;0;0
R1261;8-9-2015;16:50;24;0;0;1;0;0;0;0;0
R1263;8-9-2015;16:54;31;2;0;1;3;1;1;0;0
R1265;8-9-2015;16:58;25;3;0;0;2;25;0;0;0
R1267;8-9-2015;17:03;4;0;0;0;0;0;3;0;0
R1269;8-9-2015;17:07;6;1;0;2;2;0;0;0;0
R1271;8-9-2015;17:11;0;0;0;1;1;2;0;0;0
R1273;8-9-2015;17:16;0;0;0;0;0;1;0;0;0
R1275;8-9-2015;17:20;15;1;0;0;1;0;0;0;0
R1277;8-9-2015;17:24;12;0;4;0;0;1;0;0;0
R1279;8-9-2015;17:29;12;1;1;2;1;0;0;0;0
R1281;8-9-2015;17:33;14;0;0;1;0;1;0;0;0
R1283;8-9-2015;17:37;25;2;0;0;0;0;0;0;0
R1285;8-9-2015;17:42;2;0;0;0;0;0;0;0;0
R1287;8-9-2015;17:46;19;0;0;0;1;0;0;0;0
R1289;8-9-2015;17:51;12;0;1;0;1;0;0;0;0
R1291;8-9-2015;17:56;7;1;0;0;0;0;0;0;0
R1293;8-9-2015;18:01;19;0;0;1;0;0;0;0;0
R1295;8-9-2015;18:10;101;0;0;40;3;0;1;0;0
R1297;8-9-2015;18:24;0;0;0;0;0;0;0;0;0
R1299;8-9-2015;18:39;21;0;1;0;0;0;0;0;0
R1301;8-9-2015;18:50;16;0;0;1;0;0;0;0;0
R1303;8-9-2015;19:09;22;0;1;2;0;1;0;0;0
R1305;8-9-2015;19:24;10;0;0;0;0;0;0;0;0
R1307;8-9-2015;19:37;16;0;0;0;0;0;0;0;0
R1309;8-9-2015;19:52;9;1;1;0;0;0;0;0;0
R1311;8-9-2015;20:07;8;0;0;0;1;0;0;0;0
R1313;8-9-2015;20:22;3;0;0;0;0;0;0;0;0
R1315;8-9-2015;20:37;10;1;0;2;0;0;0;0;0
R1317;8-9-2015;20:52;5;1;0;0;0;0;0;0;0
R1319;8-9-2015;21:07;9;0;0;0;0;0;0;0;0
R1001;9-9-2015;6:10;7;0;0;0;0;0;0;0;0
R1003;9-9-2015;6:30;35;1;2;0;0;1;0;0;0
R1005;9-9-2015;6:42;41;0;0;1;0;0;0;0;0
R1007;9-9-2015;6:55;43;2;0;1;1;1;0;0;0
R1009;9-9-2015;7:05;23;0;0;1;1;0;0;0;0
R1011;9-9-2015;7:14;56;2;0;1;0;1;0;0;0
R1013;9-9-2015;7:21;50;3;0;0;0;0;0;0;0
R1015;9-9-2015;7:26;58;2;1;1;6;0;0;1;0
R1017;9-9-2015;7:31;0;2;1;0;1;0;0;0;0
R1019;9-9-2015;7:36;104;1;0;2;0;0;0;0;0
R1021;9-9-2015;7:40;144;0;0;0;3;0;0;0;0
R1023;9-9-2015;7:44;0;0;0;1;1;0;0;0;0
R1025;9-9-2015;7:48;68;0;0;0;0;1;0;0;0
R1027;9-9-2015;7:52;66;3;0;0;0;0;0;0;0
R1029;9-9-2015;7:57;70;0;0;2;1;0;0;0;0
R1031;9-9-2015;8:01;111;3;0;1;2;1;0;0;0
R1033;9-9-2015;8:05;227;2;0;6;2;3;0;0;0
R1035;9-9-2015;8:09;264;4;0;0;0;0;0;1;0
R1037;9-9-2015;8:14;258;4;4;6;2;1;0;0;0
R1039;9-9-2015;8:18;190;3;0;0;8;1;0;0;0
R1041;9-9-2015;8:22;141;2;0;3;0;0;0;0;0
R1043;9-9-2015;8:26;126;0;0;5;1;0;0;0;0
R1045;9-9-2015;8:30;274;4;0;1;0;1;1;0;0
R1047;9-9-2015;8:35;383;4;2;4;2;0;0;0;0
R1049;9-9-2015;8:39;129;3;1;0;1;0;0;0;0
R1051;9-9-2015;8:43;366;5;4;3;3;1;0;0;0
R1053;9-9-2015;8:47;91;0;0;1;0;0;0;0;0
R1055;9-9-2015;8:52;102;0;3;2;4;0;0;0;0
R1057;9-9-2015;8:56;179;1;0;0;0;0;1;0;0
R1059;9-9-2015;9:00;105;2;2;4;0;0;0;0;0
R1061;9-9-2015;9:05;0;0;0;0;2;0;0;0;0
R1063;9-9-2015;9:09;7;1;1;0;3;0;0;0;0
R1065;9-9-2015;9:14;8;0;0;1;0;0;0;0;0
R1067;9-9-2015;9:19;69;0;0;1;0;0;0;0;0
R1069;9-9-2015;9:24;69;0;0;0;3;0;0;0;0
R1071;9-9-2015;9:28;67;0;0;0;0;0;0;0;0
R1073;9-9-2015;9:33;114;3;1;2;2;0;0;0;0
R1075;9-9-2015;9:38;40;0;0;1;1;0;0;0;0
R1077;9-9-2015;9:43;18;0;0;1;1;1;0;0;0
R1079;9-9-2015;9:48;49;0;0;0;0;0;0;0;0
R1083;9-9-2015;9:57;318;5;0;4;1;0;0;0;0
R1085;9-9-2015;10:02;153;1;2;3;1;2;0;0;0
R1087;9-9-2015;10:07;202;2;1;2;5;0;0;0;0
R1089;9-9-2015;10:11;82;0;0;2;1;0;1;0;0
R1091;9-9-2015;10:16;178;1;3;0;0;1;0;0;0
R1093;9-9-2015;10:21;76;4;1;1;0;0;0;0;0
R1095;9-9-2015;10:26;117;0;2;1;5;0;2;0;0
R1097;9-9-2015;10:31;0;7;1;2;3;1;0;0;0
R1099;9-9-2015;10:35;102;2;0;1;2;1;0;0;0
R1101;9-9-2015;10:40;121;8;1;1;2;0;1;0;0
R1103;9-9-2015;10:45;92;1;0;0;0;6;0;0;0
R1105;9-9-2015;10:50;58;1;1;0;3;7;0;0;0
R1107;9-9-2015;10:54;23;1;1;1;0;3;0;0;0
R1109;9-9-2015;10:59;85;1;0;1;1;1;0;0;0
R1111;9-9-2015;11:04;65;1;1;1;2;1;0;0;0
R1113;9-9-2015;11:09;1;0;1;0;0;0;0;0;0
R1115;9-9-2015;11:14;31;0;0;0;0;0;0;0;0
R1117;9-9-2015;11:18;25;0;0;0;0;2;0;0;0
R1119;9-9-2015;11:23;31;0;0;0;3;0;0;1;0
R1121;9-9-2015;11:28;97;1;1;3;1;0;0;0;0
R1123;9-9-2015;11:33;47;0;0;3;4;0;0;0;0
R1125;9-9-2015;11:37;25;2;0;0;0;0;0;0;0
R1127;9-9-2015;11:42;43;1;0;2;0;2;0;0;0
R1129;9-9-2015;11:47;83;1;0;1;2;0;0;0;0
R1131;9-9-2015;11:52;0;0;0;2;5;0;0;0;0
R1133;9-9-2015;11:57;56;4;0;0;0;2;0;0;0
R1135;9-9-2015;12:01;13;0;0;0;0;0;0;0;0
R1137;9-9-2015;12:06;34;2;0;0;6;0;0;0;0
R1139;9-9-2015;12:11;50;1;0;1;1;0;0;0;0
R1141;9-9-2015;12:16;44;1;0;2;1;0;0;0;0
R1143;9-9-2015;12:20;45;0;0;0;4;1;0;0;0
R1145;9-9-2015;12:25;86;0;0;0;0;0;0;1;0
R1147;9-9-2015;12:30;216;5;1;0;1;1;0;0;0
R1149;9-9-2015;12:35;22;0;0;1;0;0;0;0;0
R1151;9-9-2015;12:40;128;1;1;0;9;0;0;0;0
R1153;9-9-2015;12:44;130;4;0;2;2;2;0;0;0
R1155;9-9-2015;12:49;122;6;2;1;0;2;1;0;0
R1157;9-9-2015;12:54;57;0;0;0;0;0;0;0;0
R1159;9-9-2015;12:59;88;0;3;0;4;2;1;0;0
R1161;9-9-2015;13:03;19;0;1;0;0;0;0;0;0
R1163;9-9-2015;13:08;46;0;0;0;2;0;0;0;0
R1165;9-9-2015;13:13;109;6;2;1;2;0;0;0;0
R1167;9-9-2015;13:18;0;2;0;0;0;0;0;1;0
R1169;9-9-2015;13:23;48;0;3;1;1;1;0;0;0
